"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)"
06/27/16 12:00:00 PM,13.81,13.834,13.858,13.81
06/27/16 12:15:00 PM,13.834,13.858,13.882,13.834
06/27/16 12:30:00 PM,13.93,13.954,14.05,14.002
06/27/16 12:45:00 PM,13.882,13.954,14.026,13.954
06/27/16 01:00:00 PM,13.858,13.93,14.026,13.954
06/27/16 01:15:00 PM,13.882,13.93,14.002,13.93
06/27/16 01:30:00 PM,13.882,13.93,14.002,13.93
06/27/16 01:45:00 PM,13.906,13.93,14.002,13.93
06/27/16 02:00:00 PM,13.906,13.93,14.002,13.906
06/27/16 02:15:00 PM,13.93,13.93,13.978,13.906
06/27/16 02:30:00 PM,13.93,13.93,13.978,13.906
06/27/16 02:45:00 PM,13.954,13.93,13.978,13.906
06/27/16 03:00:00 PM,13.978,13.93,13.978,13.882
06/27/16 03:15:00 PM,14.002,13.93,13.978,13.882
06/27/16 03:30:00 PM,14.026,13.93,13.954,13.882
06/27/16 03:45:00 PM,14.05,13.93,13.954,13.882
06/27/16 04:00:00 PM,14.074,13.954,13.954,13.882
06/27/16 04:15:00 PM,14.098,13.954,13.954,13.882
06/27/16 04:30:00 PM,14.122,13.954,13.954,13.882
06/27/16 04:45:00 PM,14.17,13.954,13.954,13.858
06/27/16 05:00:00 PM,14.194,13.978,13.954,13.858
06/27/16 05:15:00 PM,14.218,13.978,13.954,13.858
06/27/16 05:30:00 PM,14.266,14.002,13.954,13.858
06/27/16 05:45:00 PM,14.29,14.002,13.954,13.858
06/27/16 06:00:00 PM,14.314,14.026,13.954,13.858
06/27/16 06:15:00 PM,14.361,14.026,13.978,13.858
06/27/16 06:30:00 PM,14.385,14.05,13.978,13.858
06/27/16 06:45:00 PM,14.409,14.05,13.978,13.858
06/27/16 07:00:00 PM,14.433,14.074,13.978,13.858
06/27/16 07:15:00 PM,14.457,14.074,13.978,13.858
06/27/16 07:30:00 PM,14.481,14.098,14.002,13.858
06/27/16 07:45:00 PM,14.505,14.122,14.002,13.858
06/27/16 08:00:00 PM,14.505,14.122,14.002,13.858
06/27/16 08:15:00 PM,14.529,14.146,14.002,13.858
06/27/16 08:30:00 PM,14.553,14.146,14.002,13.858
06/27/16 08:45:00 PM,14.553,14.17,14.026,13.858
06/27/16 09:00:00 PM,14.577,14.17,14.026,13.858
06/27/16 09:15:00 PM,14.601,14.194,14.026,13.858
06/27/16 09:30:00 PM,14.601,14.194,14.05,13.858
06/27/16 09:45:00 PM,14.625,14.218,14.05,13.858
06/27/16 10:00:00 PM,14.625,14.218,14.05,13.858
06/27/16 10:15:00 PM,14.625,14.242,14.05,13.858
06/27/16 10:30:00 PM,14.649,14.242,14.074,13.882
06/27/16 10:45:00 PM,14.649,14.266,14.074,13.882
06/27/16 11:00:00 PM,14.649,14.266,14.098,13.882
06/27/16 11:15:00 PM,14.649,14.29,14.098,13.882
06/27/16 11:30:00 PM,14.649,14.29,14.098,13.882
06/27/16 11:45:00 PM,14.649,14.29,14.098,13.882
06/28/16 12:00:00 AM,14.649,14.314,14.098,13.882
06/28/16 12:15:00 AM,14.625,14.314,14.098,13.882
06/28/16 12:30:00 AM,14.625,14.314,14.122,13.906
06/28/16 12:45:00 AM,14.601,14.314,14.122,13.906
06/28/16 01:00:00 AM,14.601,14.337,14.122,13.906
06/28/16 01:15:00 AM,14.577,14.337,14.122,13.906
06/28/16 01:30:00 AM,14.577,14.314,14.146,13.906
06/28/16 01:45:00 AM,14.553,14.337,14.146,13.906
06/28/16 02:00:00 AM,14.529,14.337,14.146,13.906
06/28/16 02:15:00 AM,14.529,14.337,14.146,13.906
06/28/16 02:30:00 AM,14.505,14.314,14.146,13.906
06/28/16 02:45:00 AM,14.481,14.314,14.146,13.93
06/28/16 03:00:00 AM,14.433,14.314,14.146,13.93
06/28/16 03:15:00 AM,14.409,14.314,14.17,13.93
06/28/16 03:30:00 AM,14.385,14.314,14.17,13.93
06/28/16 03:45:00 AM,14.361,14.29,14.17,13.93
06/28/16 04:00:00 AM,14.337,14.29,14.17,13.93
06/28/16 04:15:00 AM,14.314,14.29,14.146,13.93
06/28/16 04:30:00 AM,14.29,14.29,14.146,13.93
06/28/16 04:45:00 AM,14.266,14.266,14.146,13.93
06/28/16 05:00:00 AM,14.242,14.266,14.146,13.93
06/28/16 05:15:00 AM,14.218,14.242,14.146,13.93
06/28/16 05:30:00 AM,14.218,14.242,14.146,13.93
06/28/16 05:45:00 AM,14.194,14.218,14.146,13.93
06/28/16 06:00:00 AM,14.17,14.218,14.146,13.93
06/28/16 06:15:00 AM,14.146,14.194,14.122,13.93
06/28/16 06:30:00 AM,14.122,14.194,14.122,13.93
06/28/16 06:45:00 AM,14.122,14.194,14.122,13.93
06/28/16 07:00:00 AM,14.098,14.17,14.122,13.93
06/28/16 07:15:00 AM,14.098,14.17,14.122,13.93
06/28/16 07:30:00 AM,14.074,14.146,14.122,13.93
06/28/16 07:45:00 AM,14.074,14.146,14.098,13.93
06/28/16 08:00:00 AM,14.074,14.122,14.098,13.93
06/28/16 08:15:00 AM,14.05,14.122,14.098,13.93
06/28/16 08:30:00 AM,14.05,14.122,14.098,13.93
06/28/16 08:45:00 AM,14.05,14.098,14.098,13.93
06/28/16 09:00:00 AM,14.05,14.098,14.074,13.906
