"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: T°C)"
27/08/2019 14:00,1.1758897,25.154
27/08/2019 14:15,1.173473137,25.122
27/08/2019 14:30,1.171214633,25.071
27/08/2019 14:45,1.166001548,24.947
27/08/2019 15:00,1.160738947,24.825
27/08/2019 15:15,1.160312742,24.705
27/08/2019 15:30,1.158159417,24.549
27/08/2019 15:45,1.1562178,24.414
27/08/2019 16:00,1.158422172,24.298
27/08/2019 16:15,1.159885663,24.214
27/08/2019 16:30,1.163419218,24.148
27/08/2019 16:45,1.163847247,24.092
27/08/2019 17:00,1.164135579,24.047
27/08/2019 17:15,1.166006335,23.992
27/08/2019 17:30,1.166456093,23.927
27/08/2019 17:45,1.167613272,23.873
27/08/2019 18:00,1.17002647,23.817
27/08/2019 18:15,1.169133105,23.757
27/08/2019 18:30,1.170838877,23.69
27/08/2019 18:45,1.171768775,23.612
27/08/2019 19:00,1.174836611,23.542
27/08/2019 19:15,1.179929032,23.473
27/08/2019 19:30,1.179586378,23.407
27/08/2019 19:45,1.180922384,23.338
27/08/2019 20:00,1.181907562,23.269
27/08/2019 20:15,1.180983431,23.18
27/08/2019 20:30,1.181719887,23.101
27/08/2019 20:45,1.179549162,23.029
27/08/2019 21:00,1.179518203,22.967
27/08/2019 21:15,1.176771963,22.916
27/08/2019 21:30,1.177669364,22.868
27/08/2019 21:45,1.176278747,22.821
27/08/2019 22:00,1.174715456,22.777
27/08/2019 22:15,1.176249709,22.733
27/08/2019 22:30,1.170738389,22.69
27/08/2019 22:45,1.171868649,22.644
27/08/2019 23:00,1.170428516,22.599
27/08/2019 23:15,1.169879153,22.569
27/08/2019 23:30,1.167362985,22.531
27/08/2019 23:45,1.16931681,22.492
28/08/2019 00:00,1.168369604,22.448
28/08/2019 00:15,1.167231074,22.41
28/08/2019 00:30,1.16957822,22.366
28/08/2019 00:45,1.16900011,22.342
28/08/2019 01:00,1.168610249,22.318
28/08/2019 01:15,1.166343766,22.277
28/08/2019 01:30,1.16553318,22.228
28/08/2019 01:45,1.165152547,22.186
28/08/2019 02:00,1.167496617,22.148
28/08/2019 02:15,1.16503054,22.118
28/08/2019 02:30,1.160139824,22.094
28/08/2019 02:45,1.154729262,22.077
28/08/2019 03:00,1.151112543,22.066
28/08/2019 03:15,1.154779738,22.062
28/08/2019 03:30,1.152726116,22.062
28/08/2019 03:45,1.154120195,22.08
28/08/2019 04:00,1.153832823,22.112
28/08/2019 04:15,1.15564176,22.172
28/08/2019 04:30,1.156792406,22.242
28/08/2019 04:45,1.158815166,22.33
28/08/2019 05:00,1.159462694,22.43
28/08/2019 05:15,1.159655559,22.51
28/08/2019 05:30,1.165975543,22.628
28/08/2019 05:45,1.166324834,22.72
28/08/2019 06:00,1.166205423,22.697
28/08/2019 06:15,1.171704536,22.825
28/08/2019 06:30,1.168543247,22.877
28/08/2019 06:45,1.168207709,22.964
28/08/2019 07:00,1.171996337,23.196
28/08/2019 07:15,1.175217624,23.383
28/08/2019 07:30,1.174736043,23.46
28/08/2019 07:45,1.184656691,23.548
28/08/2019 08:00,1.185957226,23.754
28/08/2019 08:15,1.184621892,23.805
28/08/2019 08:30,1.18704134,23.887
28/08/2019 08:45,1.189237063,23.977
28/08/2019 09:00,1.189967468,24.149
28/08/2019 09:15,1.194236715,24.317
28/08/2019 09:30,1.194212874,24.408
28/08/2019 09:45,1.196646934,24.417
28/08/2019 10:00,1.197891993,24.581
28/08/2019 10:15,1.199493743,24.639
28/08/2019 10:30,1.198028233,24.777
28/08/2019 10:45,1.203069511,24.919
28/08/2019 11:00,1.203833852,24.997
28/08/2019 11:15,1.204415521,25.053
28/08/2019 11:30,1.20829702,25.115
28/08/2019 11:45,1.204667129,25.113
28/08/2019 12:00,1.206700462,25.058
28/08/2019 12:15,1.209062702,24.979
28/08/2019 12:30,1.210332658,24.922
28/08/2019 12:45,1.210675794,24.937
28/08/2019 13:00,1.211458498,25.007
28/08/2019 13:15,1.210624358,24.965
28/08/2019 13:30,1.21161819,24.868
28/08/2019 13:45,1.209038086,24.76
28/08/2019 14:00,1.20669959,24.687
28/08/2019 14:15,1.206692474,24.623
28/08/2019 14:30,1.20758276,24.6
28/08/2019 14:45,1.207017822,24.567
28/08/2019 15:00,1.206232715,24.485
28/08/2019 15:15,1.205274645,24.401
28/08/2019 15:30,1.203644532,24.326
28/08/2019 15:45,1.204193606,24.262
28/08/2019 16:00,1.203625398,24.202
28/08/2019 16:15,1.20347224,24.128
28/08/2019 16:30,1.200084339,24.049
28/08/2019 16:45,1.200500831,23.971
28/08/2019 17:00,1.200316522,23.891
28/08/2019 17:15,1.199108096,23.828
28/08/2019 17:30,1.199059446,23.756
28/08/2019 17:45,1.197840636,23.691
28/08/2019 18:00,1.198661987,23.63
28/08/2019 18:15,1.198256357,23.57
28/08/2019 18:30,1.197671324,23.515
28/08/2019 18:45,1.197374721,23.476
